City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hithadhoo,-0.6,73.0833,301.24,77,26,7.63,MV,1689869120
84,carnarvon,-24.8667,113.6333,288.39,42,0,9.2,AU,1689869135
85,rongelap,11.1635,166.8941,301.93,78,100,7.38,MH,1689869128
86,hammerfest,70.6634,23.6821,282.4,93,75,5.14,NO,1689869200
87,sisimiut,66.9395,-53.6735,285.47,79,95,0.17,GL,1689868921
88,prado,-17.3411,-39.2208,296.69,80,87,3.01,BR,1689869201
89,nova vicosa,-17.8919,-39.3719,296.15,85,97,6.05,BR,1689869051
90,torghay,49.6339,63.4981,295.21,60,81,4.52,KZ,1689869099
91,taoudenni,22.6783,-3.9836,320.5,5,0,4.93,ML,1689869202
92,bardai,11.65,7.2333,302.74,55,61,6.45,NG,1689869012
93,humaita,-7.5061,-63.0208,308.43,28,10,1.47,BR,1689868967
94,punta arenas,-53.15,-70.9167,275.43,67,97,6.62,CL,1689869108
95,shagonar,51.5333,92.8,295.34,48,100,0.5,RU,1689869203
96,sinan,34.8262,126.1086,297.45,80,100,1.5,KR,1689869203
97,tual,-5.6667,132.75,299.65,81,58,7.95,ID,1689869203
98,saipan,15.1355,145.701,301.29,100,20,3.09,MP,1689869138
99,anshun,26.25,105.9333,292.03,97,31,1.5,CN,1689868950
100,ivolginsk,51.7492,107.2837,291.96,52,20,2.0,RU,1689869204
101,yellowknife,62.456,-114.3525,296.44,56,100,1.03,CA,1689869112
102,coahuayana de hidalgo,18.7,-103.6583,302.52,68,77,1.28,MX,1689869204
103,hawaiian paradise park,19.5933,-154.9731,295.95,98,100,2.57,US,1689869103
104,georgetown,5.4112,100.3354,302.12,81,20,2.06,MY,1689868995
105,axim,4.8699,-2.2405,299.99,76,35,4.67,GH,1689869205
106,chul'man,56.8479,124.9104,283.12,96,100,1.7,RU,1689869205
107,invercargill,-46.4,168.35,276.64,84,5,4.31,NZ,1689869134
108,college,64.8569,-147.8028,290.14,94,100,1.54,US,1689869051
109,bani,18.2833,-70.3333,305.84,56,4,7.29,DO,1689869206
110,gizo,-8.103,156.8419,300.03,85,97,8.3,SB,1689869206
111,ko pha ngan,9.7578,100.0291,297.79,76,100,6.8,TH,1689869206
112,tazacorte,28.629,-17.9293,299.34,76,75,7.2,ES,1689869206
113,kerikeri,-35.2268,173.9474,280.88,95,6,0.85,NZ,1689869143
114,victorica,-36.2151,-65.4359,287.74,39,56,6.68,AR,1689869207
115,east london,-33.0153,27.9116,285.67,66,75,2.06,ZA,1689868980
116,kapit,2.0167,112.9333,296.61,99,100,0.44,MY,1689869207
117,concepcion,-36.827,-73.0498,287.45,82,100,7.66,CL,1689869207
118,vadso,70.0744,29.7487,282.64,93,75,9.77,NO,1689869208
119,kiunga,-6.1219,141.2906,296.21,90,100,1.8,PG,1689869208
120,ustka,54.5805,16.8619,291.84,59,1,8.02,PL,1689869208
121,thunder bay,48.4001,-89.3168,292.14,72,75,2.06,CA,1689869106
122,la passe,45.5549,-0.8967,300.28,57,92,5.99,FR,1689869209
123,mingora,34.7758,72.3625,300.12,79,29,1.12,PK,1689869209
124,kapuskasing,49.4169,-82.4331,289.15,94,100,2.06,CA,1689869107
125,dali,25.7,100.1833,290.16,93,99,0.57,CN,1689869209
126,mahuta,-10.8667,39.45,296.13,61,95,3.54,TZ,1689869210
127,touros,-5.1989,-35.4608,301.57,58,18,8.83,BR,1689869100
128,marsh harbour,26.5412,-77.0636,303.69,65,100,3.78,BS,1689869119
129,dame-marie,18.5667,-74.4167,304.14,62,13,1.11,HT,1689869211
130,kindu,-2.95,25.95,299.92,59,74,1.57,CD,1689869211
131,talnakh,69.4865,88.3972,291.6,88,95,3.9,RU,1689869121
132,lompoc,34.6391,-120.4579,295.89,84,100,3.09,US,1689869063
133,miles city,46.4083,-105.8406,295.69,43,0,2.57,US,1689869212
134,kabanga,-2.6386,30.4678,296.46,32,6,1.05,TZ,1689869212
135,luau,-10.7073,22.2247,301.09,20,5,2.0,AO,1689869212
136,pemangkat,1.1667,108.9667,299.54,84,100,3.22,ID,1689869212
137,alakurtti,66.9672,30.3491,288.53,98,100,1.49,RU,1689869213
138,kirensk,57.7853,108.1119,287.61,81,27,0.14,RU,1689869213
139,hamilton,39.1834,-84.5333,302.58,75,40,2.06,US,1689868918
140,xam nua,20.4197,104.0439,293.85,100,100,0.91,LA,1689869213
141,puerto baquerizo moreno,-0.9,-89.6,299.7,83,20,4.12,EC,1689869156
142,puerto carreno,6.189,-67.4859,302.69,70,56,1.53,CO,1689869213
143,ondangwa,-17.9167,15.95,297.67,14,0,4.13,NA,1689869214
144,alice springs,-23.7,133.8833,282.9,66,16,1.54,AU,1689869214
145,polyarnyy,69.1989,33.4478,283.97,85,100,9.11,RU,1689869214
146,kloulklubed,7.0419,134.2556,301.6,80,100,8.8,PW,1689869214
147,okhotsk,59.3833,143.3,285.31,93,56,1.85,RU,1689869214
148,chonchi,-42.6128,-73.8092,285.99,87,97,4.75,CL,1689869136
149,nuku'alofa,-21.1333,-175.2,293.34,94,100,4.12,TO,1689869215
150,atafu village,-8.5421,-172.5159,301.12,79,45,4.28,TK,1689869102
151,shingu,33.7333,135.9833,296.99,90,96,1.6,JP,1689869160
152,port-cartier,50.0334,-66.8654,292.54,62,96,4.44,CA,1689869215
153,manicore,-5.8092,-61.3003,309.2,25,3,2.0,BR,1689869215
154,klyuchi,52.2667,79.1667,295.43,55,84,3.55,RU,1689869111
155,grand falls-windsor,48.9332,-55.6649,294.89,86,100,3.37,CA,1689869104
156,kisesa,-3.0833,34.15,297.96,25,2,2.03,TZ,1689869216
157,yarmolyntsi,49.1924,26.8373,294.85,77,95,3.75,UA,1689869216
158,crane,31.3974,-102.3501,303.61,41,94,7.84,US,1689869109
159,novaya igirma,57.1334,103.9112,289.82,62,68,1.02,RU,1689869217
160,ulladulla,-35.35,150.4667,284.1,51,54,3.63,AU,1689869217
161,la sarre,48.8002,-79.1996,295.47,51,95,2.06,CA,1689869217
162,khedbrahma,24.0333,73.05,304.12,74,83,1.85,IN,1689869217
163,malvan,16.0667,73.4667,299.38,85,100,8.29,IN,1689869217
164,kone,-21.0595,164.8658,288.44,83,66,1.67,NC,1689869132
165,port-vila,-17.7338,168.3219,291.93,100,75,1.54,VU,1689869131
166,baidoa,3.1138,43.6498,300.84,49,100,7.02,SO,1689869218
167,anadyr,64.75,177.4833,284.43,87,100,4.0,RU,1689869104
168,sao joao da barra,-21.6403,-41.0511,293.2,71,100,7.15,BR,1689869219
169,happy valley-goose bay,53.3168,-60.3315,295.32,49,75,3.6,CA,1689869015
170,mwatate,-3.5029,38.3795,296.07,52,4,5.23,KE,1689869219
171,greymouth,-42.4667,171.2,279.0,83,97,6.3,NZ,1689869220
172,manokwari,-0.8667,134.0833,298.92,84,26,1.97,ID,1689869022
173,sitka,57.0531,-135.33,287.09,82,40,0.0,US,1689869139
174,bethel,41.3712,-73.414,302.79,57,0,1.54,US,1689869048
175,iskateley,67.6803,53.1512,289.28,82,100,7.39,RU,1689868909
176,lihue,21.9789,-159.3672,298.92,85,100,7.72,US,1689869221
177,kavaratti,10.5669,72.642,301.31,82,100,8.23,IN,1689869221
178,kyren,51.6828,102.1408,286.65,96,70,0.66,RU,1689869221
179,stanley,54.868,-1.6985,290.25,80,98,2.65,GB,1689869132
180,richards bay,-28.783,32.0377,287.83,81,100,5.71,ZA,1689869091
181,inhambane,-23.865,35.3833,292.14,93,75,6.26,MZ,1689869113
